state_code,state_name,census_year,Pop_Total,Pop_GenderMale,Pop_GenderFemale,Pop_CitizenshipCitizen,Pop_CitizenshipNon-citizen,AnnualPopGrowthRate_Average,Pop_EthnicMalay,Pop_EthnicOtherBumi,Pop_EthnicChinese,Pop_EthnicIndian,Pop_EthnicOther,Pop_AgeGroup0014,Pop_AgeGroup1564,Pop_AgeGroup65++,Pop_MaritalNeverMarried,Pop_MaritalMarried,Pop_MaritalWiddowed,Pop_MaritalDivorcedSeparated,Pop_ReligionIslam,Pop_ReligionChristian,Pop_ReligionBuddha,Pop_ReligionHindu,Pop_ReligionOthers,Pop_ReligionNoReligionUnknown,LandAreaKm2,Pop_Density,Pop_StrataUrban,Pop_StrataRural
1,Johor,1970,1277180,641558,635622,1277180,NA,2.5,680976,NA,504207,85798,6199,601494,637291,38395,404359,398293,47189,6089,684651,25437,374997,69961,85883,30865,18984.6,67,336051,941129
1,Johor,1980,1580423,792142,788281,1580423,NA,2.1,877118,NA,598032,102893,2380,639501,881913,59009,551175,525033,52930,8068,876440,22169,317799,87990,256366,8849,18985,83,556836,1023587
1,Johor,1991,2069740,1053260,1016480,2016458,53282,2.5,1026646,10665,705850,134048,139249,740898,1252375,76467,708063,772848,63151,7841,1222648,34074,537198,116457,137450,16173,18986,109,989910,1079830
1,Johor,2000,2584997,1334242,1250755,2462784,122213,2.5,1433713,25867,825002,166749,11453,827980,1655710,101307,630705,1038211,78283,9818,1570832,51153,706403,150488,87987,18134,18987,135,1658115,926882
1,Johor,2010,3230440,1705359,1525081,2968088,262352,2.2,1698472,49773,997590,209260,12993,878511,2179915,172014,870380,1340299,126793,14457,1881147,107204,953626,213109,30831,44523,19210,168,2317692,912748
1,Johor,2020,4009670,2141307,1868363,3690503,319167,2.2,2158417,60757,1208652,244295,18382,959310,2805770,244590,1122758,1766477,113412,46664,2394679,121466,1150804,282717,32352,27652,19165.859999999997,209.2089788822417,3103484,906186
2,Kedah,1970,954947,480643,474304,954947,NA,2.4,673684,NA,184749,81009,15505,421131,504030,29786,267394,342939,42651,6423,676717,7986,160076,71959,31431,4252,9424.9,101,120337,834610
2,Kedah,1980,1077815,531585,546230,1077815,NA,1.2,780830,NA,198955,81350,16680,428549,607385,41881,338204,395789,39850,13495,784215,7289,117557,72328,93434,1138,9425,114,155503,922312
2,Kedah,1991,1302241,642373,659868,1296608,5633,1.7,972345,1491,208809,93413,20550,488199,754239,59803,405043,501175,48251,10840,983000,9546,169549,83997,52035,2528,9426,138,423250,878991
2,Kedah,2000,1571077,780039,791038,1550027,21050,2.1,1193323,2534,224435,108768,20967,544524,949137,77416,321553,636196,58348,10456,1217058,11885,206605,100556,33014,1959,9425,165,608969,962108
2,Kedah,2010,1899751,961460,938291,1834600,65151,1.9,1425743,4045,248772,132766,23274,555861,1226684,117206,445534,804694,81211,12451,1467775,14693,268358,127370,8418,13137,9500,200,1222855,676896
2,Kedah,2020,2131427,1087286,1044141,2038080,93347,1.2,1628169,4587,250600,129055,25669,538838,1424077,168512,476960,910873,78518,20131,1672620,16273,263976,125450,9816,43292,9492,224.54983143699957,1435341,696086
3,Kelantan,1970,684738,339002,345736,684738,NA,2.3,632750,NA,38741,5829,7418,300719,357831,26188,159928,263886,34083,12799,628783,1912,38909,4262,2982,7464,14931.2,46,103250,581488
3,Kelantan,1980,859270,420546,438724,859270,NA,2.3,799340,NA,45331,6201,8398,366403,458056,34811,245892,305713,28642,19828,795649,2009,44262,4618,10752,901,14931,58,241028,618242
3,Kelantan,1991,1181315,582168,599147,1156621,24694,2.9,1083499,8179,49949,5484,9510,505981,623623,51711,358134,410801,37939,16519,1109502,2917,53932,4348,8242,1063,14943,79,395485,785830
3,Kelantan,2000,1287367,642313,645054,1268315,19052,1,1201345,10550,44545,3499,8376,535442,690300,61625,235730,457650,45994,12551,1223034,2203,50432,3085,8172,441,15024,85,430943,856424
3,Kelantan,2010,1470696,740246,730450,1439640,31056,1.3,1362830,15522,48787,3658,8843,475551,912251,82894,340472,579288,64540,10845,1400087,4212,54789,3499,2733,5376,15099,97,612793,857903
3,Kelantan,2020,1792501,900063,892438,1757199,35302,2,1671394,25437,44676,4705,10987,537095,1141293,114113,504785,647254,72646,19280,1712263,6850,50725,3821,3307,15535,15040,119.18224734042553,790412,1002089
4,Melaka,1970,404125,197650,206475,404125,NA,2.5,209144,0,160260,31833,2888,187735,202216,14174,131702,124361,18180,1922,210227,16093,123276,26271,23759,3435,1649.8,245,101442,302683
4,Melaka,1980,446769,216881,229888,446769,NA,1,240865,0,169469,33269,3166,172772,254190,19807,161454,145307,19427,2827,238192,16376,122129,28109,35832,1257,1658,269,104381,342388
4,Melaka,1991,506321,248871,257450,500115,6206,1.1,289750,2276,166201,34938,6950,179210,302167,24944,169660,188892,20509,2620,299741,18391,134969,30174,18395,2054,1650,307,195998,310323
4,Melaka,2000,605239,300870,304369,587646,17593,2,371143,4260,170774,37862,3607,194794,379287,31158,143071,240872,23421,3081,389613,22268,146709,33861,10374,2414,1652,364,407971,197268
4,Melaka,2010,790136,397949,392187,757271,32865,2.7,497912,8750,199588,47186,3835,207582,533687,48867,214109,336184,28070,4191,521963,23878,191141,44965,3040,5149,1664,475,683221,106915
4,Melaka,2020,998428,524942,473486,927361,71067,2.4,653880,10755,205239,52359,5128,233953,701225,63250,280379,404238,34741,10780,687701,26282,191717,52640,4846,35242,1712,583.1939252336449,907937,90491
5,Negeri Sembilan,1970,481563,241725,239838,481563,NA,2.1,218002,NA,183643,77823,2095,225905,239428,16230,150247,151626,19877,3158,218539,12189,145547,66937,23846,12995,6643.3,72,103914,377649
5,Negeri Sembilan,1980,551442,274575,276867,551442,NA,1.4,259617,NA,197311,92792,1722,220404,306990,24048,191058,185721,21136,4039,257564,12198,109103,81646,83083,4972,6646,83,179514,371928
5,Negeri Sembilan,1991,692897,348191,344706,683540,9357,2.1,356614,7154,199779,110557,9436,262912,400225,29760,224582,261668,24359,3285,377191,17322,151789,98106,42785,4728,6643,104,290836,402061
5,Negeri Sembilan,2000,829774,424132,405642,801030,28744,2,450110,10564,207661,129027,3668,266806,524992,37976,196121,334802,28211,3834,482801,22709,171229,115704,32828,4503,6644,124,455956,373818
5,Negeri Sembilan,2010,986204,510854,475350,930265,55939,1.7,552339,17454,215745,141265,3462,261830,667884,56490,255452,426548,36809,5565,593840,23736,208995,132305,7604,19724,6686,148,656765,329439
5,Negeri Sembilan,2020,1199974,623974,576000,1132229,67745,2,693271,23150,248456,161633,5719,302076,816634,81264,315017,520847,42552,14242,751555,31323,238283,157554,9786,11473,6658.29,180.22254963361465,831706,368268
6,Pahang,1970,504945,261786,243159,504945,NA,3.7,308081,0,158272,36891,1701,230223,260060,14662,140715,174597,19741,3311,290628,5094,111425,32280,38392,25212,35964.5,14,95880,409065
6,Pahang,1980,768801,399324,369477,768801,NA,4.2,519366,0,197219,50541,1675,325486,419390,23925,320745,265801,20917,6302,496383,6127,104434,44928,102374,9317,35960,21,200863,567938
6,Pahang,1991,1045003,541305,503698,1013725,31278,2.8,714476,35702,191927,57776,13844,431104,583884,30015,328698,377588,25994,4921,756563,9289,142217,52099,67624,10797,35965,29,317187,727816
6,Pahang,2000,1229104,637263,591841,1184923,44181,1.8,862895,51130,206973,58438,5487,444834,745405,38865,259758,486754,32590,5168,915241,14147,166751,54262,68674,10029,35965,34,517164,711940
6,Pahang,2010,1440741,760640,680101,1369293,71448,1.6,1010249,70027,222390,60718,5909,434500,933951,72290,343378,608366,47489,7008,1078977,26938,207910,58169,19921,48826,36137,40,733403,707338
6,Pahang,2020,1591295,844151,747144,1513230,78065,1,1134245,92222,221712,55852,9199,424611,1066419,100265,410035,668888,53029,16704,1217405,24164,215677,59009,10406,64634,35965,44.24565549840122,839635,751660
7,Pulau Pinang,1970,776124,387619,388505,776124,NA,2.3,237253,NA,436745,89673,12453,318754,430060,27310,262654,254555,37051,3944,250004,35146,371541,66494,43701,6441,1033.4,751,395615,380509
7,Pulau Pinang,1980,900772,444213,456559,900772,NA,1.5,303176,NA,485161,102583,9852,307293,554781,38698,327865,320450,38081,5295,311743,31645,279045,80836,188566,2995,1031,874,427805,472967
7,Pulau Pinang,1991,1064166,526015,538151,1048305,15861,1.5,405348,1146,523211,112830,5770,313201,699348,51617,383840,416287,39844,5419,422007,36279,356315,91942,141386,7776,1031,1032,798276,265890
7,Pulau Pinang,2000,1231209,609370,621839,1185683,45526,1.6,502938,3385,549497,124839,5024,330010,838819,62380,332216,518076,44460,6447,547728,44584,413112,106789,111171,7825,1031,1175,979171,252038
7,Pulau Pinang,2010,1526324,764710,761614,1438553,87771,2.1,622578,5999,654828,149905,5243,352975,1074902,98447,416773,690780,56141,9655,681872,78089,543352,132670,74236,16105,1048,1456,1384558,141766
7,Pulau Pinang,2020,1740405,892554,847851,1599874,140531,1.3,707861,8038,718362,155492,10121,349784,1275550,115071,447827,778692,60246,24856,792187,75345,654808,145871,42025,30169,1049.08,1658.982155793648,1610378,130027
8,Perak,1970,1569139,786677,782462,1569139,NA,1.9,674757,0,666414,223518,4450,705830,811972,51337,488677,509887,67162,8051,666037,45088,504449,183199,107253,55158,21004.8,75,432294,1136845
8,Perak,1980,1743655,861801,881854,1743655,NA,1.1,788874,0,709573,241175,4033,701098,969593,72964,587743,597618,71259,9105,773702,43984,356321,202847,338883,15949,21005,83,562202,1181453
8,Perak,1991,1877471,928957,948514,1865072,12399,0.7,871537,33894,656729,255254,47658,692417,1092169,92885,608979,714638,76699,8434,936924,54927,419330,214679,221861,21922,21005,89,1006813,870658
8,Perak,2000,1973368,986512,986856,1937183,36185,0.6,1015214,44412,618972,253331,5254,643831,1213853,115684,430534,806858,83258,8887,1064137,60324,473511,218617,139514,17265,21005,94,1163532,809836
8,Perak,2010,2299582,1160276,1139306,2231633,67949,1.5,1212700,62877,675517,274631,5908,612610,1508772,178200,536728,1038564,100696,10984,1274757,98848,582640,248934,56553,37850,21035,109,1594851,704731
8,Perak,2020,2496041,1300238,1195803,2364837,131204,0.8,1364764,74888,643627,270809,10749,578623,1694122,223296,668349,1023309,117416,33021,1444033,75586,602911,241838,31269,100404,21146.329999999998,118.03660493333832,1797123,698918
9,Perlis,1970,121062,60566,60496,121062,NA,2.2,95699,0,19847,2493,3023,49000,67096,4966,32759,47530,5803,1134,96117,453,16006,1775,6057,588,795.1,152,0,121062
9,Perlis,1980,144782,71914,72868,144782,NA,1.8,115062,0,22272,3497,3951,51438,86677,6667,43541,59167,5305,2446,115514,665,12153,2781,13448,149,795,182,12949,131833
9,Perlis,1991,183824,91579,92245,181882,1942,2.2,151682,539,21478,3311,4872,66498,108001,9325,52004,76321,6379,2075,154098,1041,19323,2406,6582,185,795,231,48838,134986
9,Perlis,2000,198288,97929,100359,195683,2605,0.8,168373,562,19308,2505,4935,67403,119112,11773,37043,84447,7698,1697,170950,1017,21258,1919,2995,149,795,242,66968,131320
9,Perlis,2010,225630,111199,114431,220110,5520,1.3,193641,943,17522,2675,5329,56935,152255,16440,61482,94703,10690,1820,198275,1345,22386,1889,741,994,821,275,115845,109785
9,Perlis,2020,284885,142345,142540,278455,6430,2.4,245404,1851,20480,5124,5596,58271,204228,22386,87840,116880,14652,3993,250129,1670,26199,3619,525,2743,819,347.8449328449328,153297,131588
10,Selangor,1970,1630366,836375,793991,1630366,NA,3.7,562175,NA,755863,298627,13701,700923,885829,43614,533687,535751,57526,7551,571925,70216,635515,240761,67413,39795,8199.9,199,905816,724550
10,Selangor,1980,1426250,720379,705871,1426250,NA,-1.3,647018,NA,523657,248343,7232,537023,845370,43857,512684,490038,44751,6476,650718,47880,302211,214051,194707,14447,7956,179,487233,939017
10,Selangor,1991,2297159,1163158,1134001,2228610,68549,4.3,1021660,14524,712039,359341,121046,779108,1451461,66590,802345,870140,61675,9943,1211739,90600,522270,307442,137249,26072,7956,289,1726560,570599
10,Selangor,2000,3952817,2016427,1936390,3777041,175776,6,1980381,41144,1161917,552691,40908,1207073,2641441,104303,1040336,1599854,89695,15859,2206676,166443,963235,478044,102033,36386,7960,488,3479312,473505
10,Selangor,2010,5345454,2765809,2579645,4932695,412759,3,2754826,61331,1410690,664591,41257,1342663,3809510,193281,1397397,2444238,128925,32231,3093535,206008,1301682,617868,49538,76823,8104,660,4882300,463154
10,Selangor,2020,6994423,3710755,3283668,6430435,563988,2.7,3806213,89667,1756181,726017,52357,1549564,4962244,482615,1675291,2999476,102201,91685,4273724,344082,1512554,721090,87887,55086,7951,880,6702519,291504
11,Terengganu,1970,405368,201044,204324,405368,NA,2.9,379353,0,22579,2847,589,184400,207913,13055,98988,151884,17688,6007,380042,1283,13998,1351,5064,3186,12955.1,31,109438,295930
11,Terengganu,1980,525255,261669,263586,525255,NA,2.6,494925,0,26615,2675,1040,223366,281952,19937,155144,183551,16936,9140,493511,1531,17619,1496,6850,1364,12955,41,225181,300074
11,Terengganu,1991,766244,387517,378727,747080,19164,3.4,714572,1569,26089,2665,2185,327096,410154,28994,238702,262414,22024,8089,728469,4528,25811,2055,2627,882,12955,59,340652,425592
11,Terengganu,2000,880234,447961,432273,866098,14136,1.5,835877,2512,24007,1805,1897,355099,491398,33737,183636,307752,26868,6879,852591,2483,21593,1554,1411,602,12955,68,434959,445275
11,Terengganu,2010,1011363,515579,495784,993061,18302,1.4,961566,1944,25857,2344,1350,326520,635447,49396,264526,378066,36641,5610,980190,2206,25132,2461,648,726,13035,78,600092,411271
11,Terengganu,2020,1149440,587865,561575,1123038,26402,1.3,1090354,5225,23166,2100,2193,329107,757079,63254,310351,452432,45623,10110,1118764,2928,23382,2803,421,1142,12957.57,89,737982,411458
12,Sabah,1970,653604,339714,313890,653604,NA,0,57643,419546,139233,NA,37182,308302,331899,13403,174402,224397,19999,6060,260945,157422,63313,0,94493,75131,73711,9,107621,545983
12,Sabah,1980,955712,499345,456367,955712,NA,3.8,NA,792043,155304,5293,3072,409340,527124,19248,260644,332022,24646,7849,487627,258606,78868,2896,65078,57481,73711,13,196774,758938
12,Sabah,1991,1734685,909157,825528,1309510,425175,5.4,106740,831101,200056,8386,163227,696150,1003538,34997,543080,630517,38421,13334,1062214,470371,126206,3231,25970,42106,73620,24,576326,1158359
12,Sabah,2000,2468246,1270537,1197709,1915279,552967,3.9,294833,1245024,254528,8983,111911,957151,1452758,58337,525608,923701,46612,15174,1564734,690455,161244,2715,17932,31166,73619,34,1186900,1281346
12,Sabah,2010,3117405,1613452,1503953,2250215,867190,2.3,178029,1733914,284049,7171,47052,998001,2030657,88747,806239,1228315,64981,19869,2037547,831451,187342,2935,5816,52314,73631,42,1659866,1457539
12,Sabah,2020,3418785,1779806,1638979,2608342,810433,0.9,236934,2076537,248920,5962,39989,907129,2319713,191943,880236,1358161,75392,36107,2379216,843734,173241,4948,3772,13874,73620.74,46,1869049,1549736
13,Sarawak,1970,976269,491731,484538,976269,NA,0,181426,491148,293949,NA,9746,450085,498412,27772,239056,308482,31440,9442,229590,171335,76334,0,262842,147191,124448.9,8,151137,825132
13,Sarawak,1980,1235553,620077,615476,1235553,NA,2.4,248757,610387,360553,3294,12562,514125,678142,43286,385608,443771,38745,11299,324575,351361,121639,2051,288279,145198,124449,10,222529,1013024
13,Sarawak,1991,1642771,840295,802476,1625599,17172,2.6,350570,812872,447525,4313,10319,599283,978258,65230,520347,637652,51581,12396,471451,598940,169564,2780,269985,123018,124449,13,616837,1025934
13,Sarawak,2000,2009893,1018308,991585,1949008,60885,2.2,456393,972468,512426,3851,3870,689619,1233932,86342,424766,830709,52950,11849,637496,853165,238091,2700,182154,96287,124450,16,964393,1045500
13,Sarawak,2010,2399839,1236262,1163577,2286067,113772,1.8,551566,1158290,560150,7188,8873,691810,1573464,134565,527382,1098093,67637,14917,772847,1020390,324436,3915,169196,109055,124450,19,1289021,1110818
13,Sarawak,2020,2453677,1269561,1184116,2328397,125280,0.2,575394,1186965,554622,5082,6334,540184,1728741,184752,701054,1071922,86162,37795,838555,1229653,314679,3421,13409,53960,124450.28000000003,19.716122776099816,1399264,1054413
14,WP Kuala Lumpur,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,WP Kuala Lumpur,1980,919610,474305,445305,919610,NA,NA,305435,NA,477601,127793,8781,299084,593257,27269,354940,314584,27005,4528,312474,41150,282317,93815,170236,11321,243,3784,919610,0
14,WP Kuala Lumpur,1991,1145342,584989,560353,1094989,50353,2,438201,3546,505995,132963,14284,336375,774960,34007,419387,439884,30310,6246,482268,57360,387480,102232,83608,18013,243,4713,1145342,0
14,WP Kuala Lumpur,2000,1305792,659163,646629,1234022,71770,1.5,527821,11218,536777,140696,17510,340793,923105,41894,393254,529075,33979,8691,601013,71757,450300,109814,44412,28496,243,5374,1305792,0
14,WP Kuala Lumpur,2010,1588750,808357,780393,1440158,148592,2,644406,16597,621805,148300,9050,351346,1162611,74793,457142,726983,40644,12635,736144,92242,567318,134736,26907,31403,243,6538,1588750,0
14,WP Kuala Lumpur,2020,1982112,1058906,923206,1773666,208446,2.2,824621,21718,737161,178099,12067,395822,1455903,130387,467509,891276,45630,25037,897637,127695,639619,162926,35045,119190,243,8157,1982112,0
15,WP Labuan,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,WP Labuan,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,WP Labuan,1991,54241,28994,25247,44193,10048,NA,18266,13339,8245,807,3536,20504,32681,1056,15987,20602,1016,384,39526,6595,6092,312,751,398,91,596,26271,27970
15,WP Labuan,2000,70871,37070,33801,56816,14055,3,27923,17234,9025,733,1901,26641,42817,1413,15203,27474,1093,460,54124,8911,6676,306,483,371,92,779,54752,16119
15,WP Labuan,2010,83920,43249,40671,72140,11780,1.7,28953,31466,9639,620,1462,24218,57680,2022,20837,36772,1435,658,63797,10426,7489,345,111,1752,91,922,68726,15194
15,WP Labuan,2020,95120,48890,46230,84288,10832,1.3,23640,49031,9843,891,883,26013,65111,3996,24798,40115,2651,1543,73460,13118,7676,612,188,66,92,1033.9,84605,10515
16,WP Putrajaya,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,WP Putrajaya,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,WP Putrajaya,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,WP Putrajaya,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,WP Putrajaya,2010,68361,32207,36154,66785,1576,NA,64644,787,452,820,82,21099,46739,523,14915,31428,567,352,66573,588,260,668,80,192,49,1395,68361,NA
16,WP Putrajaya,2020,109202,53574,55628,106381,2821,4.8,101820,2324,670,1303,264,41460,66207,1535,18587,45588,1365,1481,106132,880,533,1152,98,407,49,2229,109202,NA
